,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.0720042809379824,2.135269
005,shimmer2r,high,high,1,right_sensor,0,2.0392150735174366,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.8907308131903238,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.115052575191776,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.0757707173700934,2.058953
005,shimmer2r,high,high,3,right_sensor,0,2.2743277610820014,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.111318151828406,2.151851
005,shimmer2r,high,low,2,left_sensor,0,2.001804686075543,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.10269066759094,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.2435968507067288,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.2274547002600995,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.4614105051370732,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.5274917585461172,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.451294802571439,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5718096815538256,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.3230976521145799,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.4447598065167393,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4495810105023355,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3666285193321905,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2577089364893066,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3692490594367877,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.3352222912305494,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.3033417748998806,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2544361008368068,1.323272
005,shimmer2r,low,low,1,left_sensor,0,1.0126965837164719,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0791801613380767,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0640748702295644,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.1124956925531344,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.0605969451192758,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.0406241258809907,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0591478016866263,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.115891095684606,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.158971730590492,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0774640182747808,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.0772177941422412,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.1315888671899708,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.1100456920280852,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.9700703911134617,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.0757054619315292,0.953334
005,shimmer2r,low,low,3,left_sensor,2,1.0160171867029042,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9640282662229007,0.954263
005,shimmer2r,low,low,3,right_sensor,1,0.9454309283459639,0.9496370000000001
005,shimmer2r,low,low,3,right_sensor,2,1.001229907611912,0.9518810000000001
005,shimmer2r,low,low,3,right_sensor,3,1.0021547799220094,1.028966
005,shimmer2r,normal,normal,1,left_sensor,0,1.612855231711623,1.56007
005,shimmer2r,normal,normal,1,right_sensor,0,1.6461019621922874,1.5723159999999998
005,shimmer2r,normal,normal,1,right_sensor,1,1.6624893791031878,1.499201
005,shimmer2r,normal,normal,2,left_sensor,0,1.5063689998659768,1.52983
005,shimmer2r,normal,normal,2,left_sensor,1,1.5933068165095903,1.5174590000000001
005,shimmer2r,normal,normal,2,right_sensor,0,1.553050261966522,1.5314590000000001
005,shimmer2r,normal,normal,2,right_sensor,1,1.6141082858197104,1.517977
005,shimmer2r,normal,normal,3,left_sensor,0,1.616314288278849,1.5715100000000002
005,shimmer2r,normal,normal,3,right_sensor,0,1.655558808052179,1.598245
005,shimmer2r,normal,normal,3,right_sensor,1,1.582648523699717,1.5468739999999999
005,shimmer3,high,high,1,left_sensor,0,2.0704483663193862,2.248182
005,shimmer3,high,high,1,right_sensor,0,2.1149729996764286,2.226041
005,shimmer3,high,high,2,left_sensor,0,2.35102020215873,2.210782
005,shimmer3,high,low,1,right_sensor,0,2.074961039158439,2.056041
005,shimmer3,high,low,2,right_sensor,0,2.039470427092734,1.554866
005,shimmer3,high,low,3,left_sensor,0,2.1104171757630668,2.141502
005,shimmer3,high,low,3,right_sensor,0,2.073021301011068,2.10083
005,shimmer3,low,high,1,left_sensor,0,1.4840263972281729,1.3972419999999999
005,shimmer3,low,high,1,left_sensor,1,1.365577728853382,1.380642
005,shimmer3,low,high,1,left_sensor,2,1.2933183352921682,1.331833
005,shimmer3,low,high,1,right_sensor,0,1.3025840591418025,1.37098
