,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.1910308683154063,2.135269
005,shimmer2r,high,high,1,right_sensor,0,2.01688059958337,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.9592523307728684,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.1095127539928975,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.0720799791869844,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.9344485818368382,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.0892907881482934,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.9979477845022453,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.0144352841823316,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.226044901530009,2.123256
005,shimmer2r,high,low,3,right_sensor,0,1.4626076860049089,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.447268676540259,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.52227811715446,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.437628309914874,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.57180969064979,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.2956081023730313,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.4432155687594075,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4389348726706064,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3647885295596913,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2535346575251438,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3475661005576378,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.3246550313463228,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.295915627941822,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2462922405999144,1.323272
005,shimmer2r,low,low,1,left_sensor,0,1.0010568464227108,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0664669922509566,1.046453
