,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.190066640009571,2.135269
005,shimmer2r,high,high,1,right_sensor,0,2.0241784956490987,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.9373875990477472,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.1062386587521518,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.0934577098051017,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.9479305488051089,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.1097025648311414,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.9544969279522664,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.0237317337854948,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.200538135920334,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.0665610563352463,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.4439928184225526,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.5023431196387593,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.4200331265211286,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5701589228376671,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.2973961522069268,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.4170477612416057,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4113118880227484,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3369554020190386,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2390799665458028,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.2880544308551996,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.305495624074613,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2905800649016825,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2305148861013526,1.323272
005,shimmer2r,low,low,1,left_sensor,0,0.980628224865617,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0461865854934365,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0489743557889004,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.1009654931325121,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.0422668802561619,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.0311418455452221,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0122295104589965,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.095725292711854,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.1307319773172757,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0823903855103307,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.0699156718827394,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.0900298886077333,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.0903427040497562,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.938897758309246,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.0402046514814085,0.953334
005,shimmer2r,low,low,3,left_sensor,2,0.9830398160461513,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9612675401296956,0.954263
005,shimmer2r,low,low,3,right_sensor,1,0.9337384551215915,0.9496370000000001
005,shimmer2r,low,low,3,right_sensor,2,0.9952874006216964,0.9518810000000001
005,shimmer2r,low,low,3,right_sensor,3,0.9841847803435361,1.028966
005,shimmer2r,normal,normal,1,left_sensor,0,1.5911012209520996,1.56007
005,shimmer2r,normal,normal,1,right_sensor,0,1.5888103035760721,1.5723159999999998
005,shimmer2r,normal,normal,1,right_sensor,1,1.6521900311038893,1.499201
005,shimmer2r,normal,normal,2,left_sensor,0,1.4728293408591593,1.52983
005,shimmer2r,normal,normal,2,left_sensor,1,1.5464600692999364,1.5174590000000001
005,shimmer2r,normal,normal,2,right_sensor,0,1.531302072371092,1.5314590000000001
005,shimmer2r,normal,normal,2,right_sensor,1,1.5924475810492316,1.517977
005,shimmer2r,normal,normal,3,left_sensor,0,1.6200109632338562,1.5715100000000002
005,shimmer2r,normal,normal,3,right_sensor,0,1.6308420719212118,1.598245
005,shimmer2r,normal,normal,3,right_sensor,1,1.5833516718770704,1.5468739999999999
005,shimmer3,high,high,1,left_sensor,0,2.1416947716009163,2.248182
005,shimmer3,high,high,1,right_sensor,0,2.13405360734608,2.226041
005,shimmer3,high,high,2,left_sensor,0,2.033767495346578,2.210782
005,shimmer3,high,low,1,right_sensor,0,1.9731773946468167,2.056041
005,shimmer3,high,low,2,right_sensor,0,1.9917514947089359,1.554866
005,shimmer3,high,low,3,left_sensor,0,2.050957465476052,2.141502
005,shimmer3,high,low,3,right_sensor,0,1.9275450760973067,2.10083
005,shimmer3,low,high,1,left_sensor,0,1.4237761608862474,1.3972419999999999
005,shimmer3,low,high,1,left_sensor,1,1.3223475450576734,1.380642
005,shimmer3,low,high,1,left_sensor,2,1.267915696123203,1.331833
005,shimmer3,low,high,1,right_sensor,0,1.2615627326496137,1.37098
005,shimmer3,low,high,1,right_sensor,1,1.3722766956632653,1.372312
005,shimmer3,low,high,2,left_sensor,0,1.3572847828843395,1.4581890000000002
005,shimmer3,low,high,2,left_sensor,1,1.4133750581545743,1.447152
005,shimmer3,low,high,2,right_sensor,0,1.4064279727582698,1.46513
005,shimmer3,low,high,2,right_sensor,1,1.4322316737894079,1.454483
005,shimmer3,low,high,3,left_sensor,0,1.3960506439496279,1.492656
005,shimmer3,low,high,3,left_sensor,1,1.4726960976974595,1.5212450000000002
005,shimmer3,low,high,3,right_sensor,0,1.4214827675767803,1.458409
005,shimmer3,low,high,3,right_sensor,1,1.471836842003473,1.527662
005,shimmer3,low,low,1,left_sensor,0,0.9453751142639855,0.997842
005,shimmer3,low,low,1,left_sensor,1,1.026032060800264,1.055512
005,shimmer3,low,low,1,right_sensor,0,0.9850492924607493,0.971395
005,shimmer3,low,low,1,right_sensor,1,0.9872577959950538,1.046394
005,shimmer3,low,low,1,right_sensor,2,0.9793238464979377,1.00042
005,shimmer3,low,low,2,left_sensor,0,1.0440502816012065,1.089239
005,shimmer3,low,low,2,left_sensor,1,0.9861188392894681,1.073429
005,shimmer3,low,low,2,right_sensor,0,1.0940055266670787,1.089916
005,shimmer3,low,low,2,right_sensor,1,1.107331187174915,1.094946
005,shimmer3,low,low,2,right_sensor,2,1.0622649095410108,1.0405419999999999
005,shimmer3,low,low,3,left_sensor,0,1.0137366236196876,1.055487
005,shimmer3,low,low,3,left_sensor,1,0.9491585694084573,0.9732890000000001
005,shimmer3,low,low,3,left_sensor,2,0.9223979355224969,0.948166
005,shimmer3,low,low,3,right_sensor,0,0.9704108418868834,0.9915860000000001
005,shimmer3,low,low,3,right_sensor,1,0.8850037192938975,0.9167230000000001
005,shimmer3,normal,normal,1,left_sensor,0,1.310071633392444,1.431945
005,shimmer3,normal,normal,1,left_sensor,1,1.3466042463984365,1.4765979999999999
005,shimmer3,normal,normal,1,right_sensor,0,1.4457244824875881,1.4493360000000002
005,shimmer3,normal,normal,1,right_sensor,1,1.500532383368273,1.5124279999999999
005,shimmer3,normal,normal,2,left_sensor,0,1.4891798019979545,1.50861
005,shimmer3,normal,normal,2,left_sensor,1,1.4893429277668153,1.529372
005,shimmer3,normal,normal,2,right_sensor,0,1.5560915846352046,1.4926249999999999
007,shimmer2r,high,high,1,left_sensor,0,2.0929948515718397,2.156069
007,shimmer2r,high,high,2,left_sensor,0,2.138782162864258,2.084128
007,shimmer2r,high,high,2,right_sensor,0,2.053569576602058,1.833144
007,shimmer2r,high,high,3,left_sensor,0,2.125123388934093,2.122382
007,shimmer2r,high,high,3,right_sensor,0,2.2078856628306145,2.039712
007,shimmer2r,high,low,1,left_sensor,0,2.1205361249224683,2.147701
007,shimmer2r,high,low,1,right_sensor,0,2.4035261123288185,2.173813
007,shimmer2r,high,low,2,left_sensor,0,2.226949349692093,2.2088929999999998
