,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.2204446552351196,2.135269
005,shimmer2r,high,high,1,right_sensor,0,1.9913229629150733,2.092692
005,shimmer2r,high,high,2,left_sensor,0,2.114010246108,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.0492921583092065,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.0446899463341834,2.058953
005,shimmer2r,high,high,3,right_sensor,0,2.5243554162933357,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.073099953133062,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.9750803364277543,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.332984624583166,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.1858897163226265,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.0529789397576486,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.4336223404348618,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.4966881190843122,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.4295239494876644,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5460120206096575,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.288060084751529,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.423675904199795,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4308033849799024,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3397653605454665,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2260799539299987,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3463674039985198,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.3108977356732945,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2893301330767746,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.228924802409437,1.323272
005,shimmer2r,low,low,1,left_sensor,0,0.9701589861877203,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0524357653785075,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0435249453457662,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.0928746179390936,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.034469869405868,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.0181287703932063,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0287927768186584,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.0866761857121574,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.1230834615688405,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0517491467177738,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.0521379278612246,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.1017820059181567,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.0892111065920937,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.945105810350479,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.0614129081505195,0.953334
005,shimmer2r,low,low,3,left_sensor,2,0.9786248263827401,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9468308348124929,0.954263
005,shimmer2r,low,low,3,right_sensor,1,0.9190104132263585,0.9496370000000001
005,shimmer2r,low,low,3,right_sensor,2,0.9640992977602741,0.9518810000000001
005,shimmer2r,low,low,3,right_sensor,3,0.9728243080385482,1.028966
005,shimmer2r,normal,normal,1,left_sensor,0,1.5572417307590563,1.56007
005,shimmer2r,normal,normal,1,right_sensor,0,1.601892305767666,1.5723159999999998
005,shimmer2r,normal,normal,1,right_sensor,1,1.628758472157498,1.499201
005,shimmer2r,normal,normal,2,left_sensor,0,1.4594458681708045,1.52983
005,shimmer2r,normal,normal,2,left_sensor,1,1.561145809127457,1.5174590000000001
005,shimmer2r,normal,normal,2,right_sensor,0,1.4898074509978838,1.5314590000000001
005,shimmer2r,normal,normal,2,right_sensor,1,1.6013126775298732,1.517977
005,shimmer2r,normal,normal,3,left_sensor,0,1.587592716586972,1.5715100000000002
005,shimmer2r,normal,normal,3,right_sensor,0,1.6390969714276198,1.598245
005,shimmer2r,normal,normal,3,right_sensor,1,1.5610907308291277,1.5468739999999999
005,shimmer3,high,high,1,left_sensor,0,2.1889233207798324,2.248182
005,shimmer3,high,high,1,right_sensor,0,2.36796924702727,2.226041
005,shimmer3,high,high,2,left_sensor,0,2.6113788785340284,2.210782
005,shimmer3,high,low,1,right_sensor,0,1.9935079964353648,2.056041
005,shimmer3,high,low,2,right_sensor,0,1.9711934208497248,1.554866
005,shimmer3,high,low,3,left_sensor,0,1.9901320156701228,2.141502
005,shimmer3,high,low,3,right_sensor,0,1.8275075841886916,2.10083
005,shimmer3,low,high,1,left_sensor,0,1.427849921347339,1.3972419999999999
005,shimmer3,low,high,1,left_sensor,1,1.3195300139129145,1.380642
005,shimmer3,low,high,1,left_sensor,2,1.2474174239360871,1.331833
005,shimmer3,low,high,1,right_sensor,0,1.2452690669924371,1.37098
005,shimmer3,low,high,1,right_sensor,1,1.353547070438066,1.372312
005,shimmer3,low,high,2,left_sensor,0,1.3666231049736897,1.4581890000000002
005,shimmer3,low,high,2,left_sensor,1,1.3987989039963848,1.447152
005,shimmer3,low,high,2,right_sensor,0,1.4019206997858737,1.46513
005,shimmer3,low,high,2,right_sensor,1,1.4073253829958452,1.454483
