,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.161805988441589,2.135269
005,shimmer2r,high,high,1,right_sensor,0,1.9783015618294408,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.9296945924086653,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.0569316339841777,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.0470825978596956,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.8819950679691402,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.0458382546407843,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.9744105698657972,2.084089
005,shimmer2r,high,low,2,right_sensor,0,1.9604880656016759,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.159586842915056,2.123256
005,shimmer2r,high,low,3,right_sensor,0,1.412956407932038,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.42285872952369,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.496466526107743,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.4140649401193026,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5460120227414056,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.2649716726118494,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.4189085532878773,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.424372782334864,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3427902542801082,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2264209818253213,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3263846136988053,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.305060922833911,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2859128698864466,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2252216321988614,1.323272
005,shimmer2r,low,low,1,left_sensor,0,0.9630989745739081,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0369306253232664,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0394107586660808,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.0928746369023488,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.0307395664284276,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.0181287685242362,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0039714158894926,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.0866761792423332,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.1230834619030259,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0517491371532983,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.0426044463835058,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.101781994715339,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.0833802097073157,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.9451058206966289,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.0614129111726265,0.953334
005,shimmer2r,low,low,3,left_sensor,2,0.9790347155553695,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9468308686290726,0.954263
005,shimmer2r,low,low,3,right_sensor,1,0.9096323290204916,0.9496370000000001
005,shimmer2r,low,low,3,right_sensor,2,0.9640993246114025,0.9518810000000001
005,shimmer2r,low,low,3,right_sensor,3,0.9728243006135562,1.028966
005,shimmer2r,normal,normal,1,left_sensor,0,1.5453945998909566,1.56007
005,shimmer2r,normal,normal,1,right_sensor,0,1.589564129937236,1.5723159999999998
005,shimmer2r,normal,normal,1,right_sensor,1,1.613629787396625,1.499201
005,shimmer2r,normal,normal,2,left_sensor,0,1.451527949112814,1.52983
005,shimmer2r,normal,normal,2,left_sensor,1,1.5590670522005612,1.5174590000000001
005,shimmer2r,normal,normal,2,right_sensor,0,1.5182034849524666,1.5314590000000001
005,shimmer2r,normal,normal,2,right_sensor,1,1.5781596253195935,1.517977
005,shimmer2r,normal,normal,3,left_sensor,0,1.593208284759004,1.5715100000000002
005,shimmer2r,normal,normal,3,right_sensor,0,1.6390969610205954,1.598245
005,shimmer2r,normal,normal,3,right_sensor,1,1.5619775190216147,1.5468739999999999
005,shimmer3,high,high,1,left_sensor,0,2.1130529300676266,2.248182
005,shimmer3,high,high,1,right_sensor,0,2.0873294784673098,2.226041
005,shimmer3,high,high,2,left_sensor,0,1.963753201535199,2.210782
005,shimmer3,high,low,1,right_sensor,0,1.9569591411826626,2.056041
005,shimmer3,high,low,2,right_sensor,0,1.933299141061986,1.554866
005,shimmer3,high,low,3,left_sensor,0,2.0017202948686816,2.141502
005,shimmer3,high,low,3,right_sensor,0,1.8339913034098545,2.10083
005,shimmer3,low,high,1,left_sensor,0,1.386480250966407,1.3972419999999999
005,shimmer3,low,high,1,left_sensor,1,1.3182921558395564,1.380642
005,shimmer3,low,high,1,left_sensor,2,1.2476401132146784,1.331833
005,shimmer3,low,high,1,right_sensor,0,1.2590008599865319,1.37098
005,shimmer3,low,high,1,right_sensor,1,1.35330296434769,1.372312
005,shimmer3,low,high,2,left_sensor,0,1.3561017373264066,1.4581890000000002
005,shimmer3,low,high,2,left_sensor,1,1.3963426349600205,1.447152
005,shimmer3,low,high,2,right_sensor,0,1.401285336938321,1.46513
005,shimmer3,low,high,2,right_sensor,1,1.4077491331816143,1.454483
005,shimmer3,low,high,3,left_sensor,0,1.3874167367236556,1.492656
005,shimmer3,low,high,3,left_sensor,1,1.4489499151853573,1.5212450000000002
005,shimmer3,low,high,3,right_sensor,0,1.403911705906382,1.458409
005,shimmer3,low,high,3,right_sensor,1,1.4511448624240848,1.527662
005,shimmer3,low,low,1,left_sensor,0,0.9602381961973986,0.997842
005,shimmer3,low,low,1,left_sensor,1,1.0058643505335723,1.055512
005,shimmer3,low,low,1,right_sensor,0,0.9664322592783181,0.971395
005,shimmer3,low,low,1,right_sensor,1,0.9773041857584495,1.046394
005,shimmer3,low,low,1,right_sensor,2,0.9664680398800777,1.00042
005,shimmer3,low,low,2,left_sensor,0,1.0421202940236658,1.089239
005,shimmer3,low,low,2,left_sensor,1,0.9799945192750986,1.073429
005,shimmer3,low,low,2,right_sensor,0,1.092556678761438,1.089916
005,shimmer3,low,low,2,right_sensor,1,1.0937368926717577,1.094946
005,shimmer3,low,low,2,right_sensor,2,1.0523378208150793,1.0405419999999999
005,shimmer3,low,low,3,left_sensor,0,1.0155309355301612,1.055487
005,shimmer3,low,low,3,left_sensor,1,0.9498995556298063,0.9732890000000001
005,shimmer3,low,low,3,left_sensor,2,0.9165434047394406,0.948166
005,shimmer3,low,low,3,right_sensor,0,0.9542797191108967,0.9915860000000001
005,shimmer3,low,low,3,right_sensor,1,0.890758177362346,0.9167230000000001
005,shimmer3,normal,normal,1,left_sensor,0,1.311152535325958,1.431945
005,shimmer3,normal,normal,1,left_sensor,1,1.3324265808417144,1.4765979999999999
005,shimmer3,normal,normal,1,right_sensor,0,1.4328234314008639,1.4493360000000002
005,shimmer3,normal,normal,1,right_sensor,1,1.4868427625571974,1.5124279999999999
005,shimmer3,normal,normal,2,left_sensor,0,1.476978652942564,1.50861
005,shimmer3,normal,normal,2,left_sensor,1,1.4760531218313746,1.529372
005,shimmer3,normal,normal,2,right_sensor,0,1.542811620073057,1.4926249999999999
007,shimmer2r,high,high,1,left_sensor,0,2.0656416317424786,2.156069
007,shimmer2r,high,high,2,left_sensor,0,2.080644257127871,2.084128
007,shimmer2r,high,high,2,right_sensor,0,2.0723940069555256,1.833144
007,shimmer2r,high,high,3,left_sensor,0,2.102949792314432,2.122382
007,shimmer2r,high,high,3,right_sensor,0,2.189110702966271,2.039712
007,shimmer2r,high,low,1,left_sensor,0,2.1148053166668928,2.147701
007,shimmer2r,high,low,1,right_sensor,0,2.408121414170711,2.173813
007,shimmer2r,high,low,2,left_sensor,0,2.211869725861024,2.2088929999999998
007,shimmer2r,high,low,2,right_sensor,0,2.1515083524521597,2.225625
007,shimmer2r,high,low,3,left_sensor,0,2.2257352944683935,2.278699
007,shimmer2r,high,low,3,right_sensor,0,2.330252027263673,2.258478
007,shimmer2r,low,high,1,left_sensor,0,1.4086276106675455,1.381714
007,shimmer2r,low,high,1,left_sensor,1,1.4620460566369535,1.478321
007,shimmer2r,low,high,1,right_sensor,0,1.4024419385954423,1.4589619999999999
007,shimmer2r,low,high,1,right_sensor,1,1.5516088381586055,1.477501
007,shimmer2r,low,high,2,left_sensor,0,1.4290712943474482,1.402205
007,shimmer2r,low,high,2,left_sensor,1,1.393459755811949,1.420613
007,shimmer2r,low,high,2,left_sensor,2,1.4031499327202435,1.438107
007,shimmer2r,low,high,2,right_sensor,0,1.4080055771844728,1.439837
007,shimmer2r,low,high,2,right_sensor,1,1.3429853983581177,1.429177
007,shimmer2r,low,high,3,left_sensor,0,1.5719772735527682,1.52364
007,shimmer2r,low,high,3,left_sensor,1,1.6234425920194935,1.584017
007,shimmer2r,low,high,3,right_sensor,0,1.5330204752933998,1.555254
007,shimmer2r,low,low,1,left_sensor,0,1.2991199940018714,1.271189
007,shimmer2r,low,low,1,right_sensor,0,1.3577260126871797,1.270154
007,shimmer2r,low,low,1,right_sensor,1,1.3407420859615515,1.2580580000000001
007,shimmer2r,low,low,2,left_sensor,0,1.294030677509656,1.262991
007,shimmer2r,low,low,2,left_sensor,1,1.2428254334146216,1.276913
007,shimmer2r,low,low,2,right_sensor,0,1.2952941187340086,1.238526
007,shimmer2r,low,low,2,right_sensor,1,1.339379868273816,1.245423
007,shimmer2r,low,low,2,right_sensor,2,1.2854981674407069,1.314754
007,shimmer2r,low,low,3,left_sensor,0,1.2995708581434173,1.3290700000000002
007,shimmer2r,low,low,3,left_sensor,1,1.4554673213669789,1.410749
007,shimmer2r,low,low,3,right_sensor,0,1.4366607946611223,1.356853
007,shimmer2r,low,low,3,right_sensor,1,1.4001097780138168,1.387951
007,shimmer2r,normal,normal,1,left_sensor,0,1.598981945299198,1.599149
007,shimmer2r,normal,normal,1,left_sensor,1,1.6223185357623926,1.619694
