,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.1791310144006717,2.135269
005,shimmer2r,high,high,1,right_sensor,0,2.008698660619816,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.9284497050909106,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.090742282565835,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.084362060270163,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.9260616359116458,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.115326839555845,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.9476226597560244,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.0080422969999523,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.180420292744663,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.0154569391711297,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.4371175714172042,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.49708035673019,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.4127561716822712,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5634787867728142,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.284327559898697,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.415168958199708,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4076799286906119,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3290666040072723,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2315100293463908,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.287922239372191,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.300043488112073,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2882901060828298,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2244920204891863,1.323272
005,shimmer2r,low,low,1,left_sensor,0,0.967419960825653,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.0375013533204074,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0442177267916073,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.094602940953854,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.03507236340976,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.0252038959881202,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0016417468711,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.0866762470540294,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.1202099585130023,1.065591
