,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.1436186266683714,2.135269
005,shimmer2r,high,high,1,right_sensor,0,1.9993995370725948,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.8985229058699291,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.055251896958068,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.018517598071525,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.8590097523355054,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.0234165387391,2.151851
005,shimmer2r,high,low,2,left_sensor,0,2.002926863573302,2.084089
005,shimmer2r,high,low,2,right_sensor,0,1.9573717017905858,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.2570455553220032,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.0959523175351795,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.3929545572542037,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.4608936776192787,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.3694914896993744,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.515339242895678,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.243462196397241,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.411497305550815,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.408828231502937,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3184208705759484,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.2080107549892232,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3103425933998785,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.2744737423415404,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2564548103762971,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.1942336891559961,1.323272
005,shimmer2r,low,low,1,left_sensor,0,0.9421676125548863,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.013377642921943,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.0302877038697416,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.0526478916022013,1.025746
005,shimmer2r,low,low,1,right_sensor,1,0.993366192625491,1.02808
005,shimmer2r,low,low,1,right_sensor,2,0.9550244538127195,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0210158002560383,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.082788355129341,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.1049024522108308,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0289430761057763,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.01714156833749,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.0734237001246791,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.0415649954896409,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.9359310984590418,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.033066663433999,0.953334
005,shimmer2r,low,low,3,left_sensor,2,0.9617878259719824,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9280491551530543,0.954263
005,shimmer2r,low,low,3,right_sensor,1,0.8948425299381987,0.9496370000000001
005,shimmer2r,low,low,3,right_sensor,2,0.9759825702551881,0.9518810000000001
005,shimmer2r,low,low,3,right_sensor,3,0.940472710991448,1.028966
005,shimmer2r,normal,normal,1,left_sensor,0,1.5292195083141216,1.56007
005,shimmer2r,normal,normal,1,right_sensor,0,1.5761754019966498,1.5723159999999998
005,shimmer2r,normal,normal,1,right_sensor,1,1.6080875122143454,1.499201
005,shimmer2r,normal,normal,2,left_sensor,0,1.434860749532365,1.52983
005,shimmer2r,normal,normal,2,left_sensor,1,1.5560942669909945,1.5174590000000001
005,shimmer2r,normal,normal,2,right_sensor,0,1.492903157395568,1.5314590000000001
005,shimmer2r,normal,normal,2,right_sensor,1,1.556310956957627,1.517977
005,shimmer2r,normal,normal,3,left_sensor,0,1.5680209360644108,1.5715100000000002
005,shimmer2r,normal,normal,3,right_sensor,0,1.624289590327853,1.598245
005,shimmer2r,normal,normal,3,right_sensor,1,1.505871082999011,1.5468739999999999
005,shimmer3,high,high,1,left_sensor,0,2.1304651653411777,2.248182
005,shimmer3,high,high,1,right_sensor,0,2.0927831267309687,2.226041
005,shimmer3,high,high,2,left_sensor,0,2.0062097546983804,2.210782
005,shimmer3,high,low,1,right_sensor,0,1.9278242499062055,2.056041
005,shimmer3,high,low,2,right_sensor,0,2.0117112328198603,1.554866
005,shimmer3,high,low,3,left_sensor,0,1.9817733848355878,2.141502
005,shimmer3,high,low,3,right_sensor,0,1.8229036636296396,2.10083
005,shimmer3,low,high,1,left_sensor,0,1.4107697018378837,1.3972419999999999
005,shimmer3,low,high,1,left_sensor,1,1.3291873861587535,1.380642
005,shimmer3,low,high,1,left_sensor,2,1.266884956329381,1.331833
005,shimmer3,low,high,1,right_sensor,0,1.237686283251073,1.37098
005,shimmer3,low,high,1,right_sensor,1,1.3475977432956212,1.372312
005,shimmer3,low,high,2,left_sensor,0,1.367324554899744,1.4581890000000002
005,shimmer3,low,high,2,left_sensor,1,1.4050000539332095,1.447152
005,shimmer3,low,high,2,right_sensor,0,1.3644310758243337,1.46513
005,shimmer3,low,high,2,right_sensor,1,1.4028261623094902,1.454483
005,shimmer3,low,high,3,left_sensor,0,1.4098991818514521,1.492656
005,shimmer3,low,high,3,left_sensor,1,1.4810427422828554,1.5212450000000002
005,shimmer3,low,high,3,right_sensor,0,1.3726307265448576,1.458409
005,shimmer3,low,high,3,right_sensor,1,1.4166258232628486,1.527662
005,shimmer3,low,low,1,left_sensor,0,1.0039820058795434,0.997842
005,shimmer3,low,low,1,left_sensor,1,0.9875517031315645,1.055512
005,shimmer3,low,low,1,right_sensor,0,1.0355731294748405,0.971395
005,shimmer3,low,low,1,right_sensor,1,0.9255198583017644,1.046394
005,shimmer3,low,low,1,right_sensor,2,0.9672540956154403,1.00042
005,shimmer3,low,low,2,left_sensor,0,1.052001659959198,1.089239
005,shimmer3,low,low,2,left_sensor,1,0.9520435564845315,1.073429
005,shimmer3,low,low,2,right_sensor,0,1.0857588536247678,1.089916
005,shimmer3,low,low,2,right_sensor,1,1.0922978696327612,1.094946
