,,,,,,s_id,predicted,reference
005,shimmer2r,high,high,1,left_sensor,0,2.189516816861013,2.135269
005,shimmer2r,high,high,1,right_sensor,0,2.0631333887216114,2.092692
005,shimmer2r,high,high,2,left_sensor,0,1.9697971643777579,2.083514
005,shimmer2r,high,high,2,right_sensor,0,2.151150407218984,2.131611
005,shimmer2r,high,high,3,left_sensor,0,2.088014517305049,2.058953
005,shimmer2r,high,high,3,right_sensor,0,1.947194232209447,2.144255
005,shimmer2r,high,low,1,left_sensor,0,2.108352843356995,2.151851
005,shimmer2r,high,low,2,left_sensor,0,1.968506026489154,2.084089
005,shimmer2r,high,low,2,right_sensor,0,2.065118525250761,2.187899
005,shimmer2r,high,low,3,left_sensor,0,2.2766277782229762,2.123256
005,shimmer2r,high,low,3,right_sensor,0,2.2392996932080638,2.141953
005,shimmer2r,low,high,1,left_sensor,0,1.4413697550205475,1.4836680000000002
005,shimmer2r,low,high,1,left_sensor,1,1.497795271996183,1.4214510000000002
005,shimmer2r,low,high,1,right_sensor,0,1.4133892870566034,1.4637129999999998
005,shimmer2r,low,high,1,right_sensor,1,1.5619765786694888,1.488186
005,shimmer2r,low,high,2,left_sensor,0,1.2983354427510976,1.327566
005,shimmer2r,low,high,2,left_sensor,1,1.4557387864219258,1.3846360000000002
005,shimmer2r,low,high,2,right_sensor,0,1.4541752507925918,1.3394139999999999
005,shimmer2r,low,high,2,right_sensor,1,1.3662974044204461,1.3363939999999999
005,shimmer2r,low,high,3,left_sensor,0,1.246777699783598,1.262136
005,shimmer2r,low,high,3,left_sensor,1,1.3355184704984966,1.292441
005,shimmer2r,low,high,3,right_sensor,0,1.325099037715829,1.343067
005,shimmer2r,low,high,3,right_sensor,1,1.2951888042497632,1.246157
005,shimmer2r,low,high,3,right_sensor,2,1.2307740253888972,1.323272
005,shimmer2r,low,low,1,left_sensor,0,1.0451940185457005,1.00911
005,shimmer2r,low,low,1,left_sensor,1,1.089276855473303,1.046453
005,shimmer2r,low,low,1,left_sensor,2,1.1012689770099189,1.00297
005,shimmer2r,low,low,1,right_sensor,0,1.1436415041224375,1.025746
005,shimmer2r,low,low,1,right_sensor,1,1.0632314368589109,1.02808
005,shimmer2r,low,low,1,right_sensor,2,1.06186473653849,1.182098
005,shimmer2r,low,low,2,left_sensor,0,1.0929242211559291,0.983438
005,shimmer2r,low,low,2,left_sensor,1,1.1633370935836167,1.081312
005,shimmer2r,low,low,2,left_sensor,2,1.2098039012761894,1.065591
005,shimmer2r,low,low,2,left_sensor,3,1.0941801498459593,1.095937
005,shimmer2r,low,low,2,right_sensor,0,1.0526461813122352,1.0538079999999999
005,shimmer2r,low,low,2,right_sensor,1,1.1433177898191165,1.076952
005,shimmer2r,low,low,2,right_sensor,2,1.1222743102571042,1.090196
005,shimmer2r,low,low,3,left_sensor,0,0.9905115416547995,0.9528220000000001
005,shimmer2r,low,low,3,left_sensor,1,1.0799746033078939,0.953334
005,shimmer2r,low,low,3,left_sensor,2,1.0345974891501564,0.960055
005,shimmer2r,low,low,3,right_sensor,0,0.9580080337772962,0.954263
